Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
09/02/2026,Buy,MU,MICRON TECHNOLOGY INC,100,95.50,0.00,-9550.00
09/02/2026,Buy,MULL,GRANITESHARES 2X LONG MU,200,28.40,0.00,-5680.00
09/03/2026,Buy,SNDK,SNDK CORP,50,42.10,1.00,-2106.00
09/03/2026,Buy,SNDQ,AXS -2X SNDK DAILY ETF,150,18.25,0.00,-2737.50
09/04/2026,Sell,MU,MICRON TECHNOLOGY INC,40,98.20,0.00,3928.00
09/04/2026,Buy,AVGO,BROADCOM INC,25,165.00,0.00,-4125.00
09/04/2026,Buy,AVL,GRANITESHARES 2X LONG AVGO,80,22.50,0.00,-1800.00
09/05/2026,Buy,PLTR,PALANTIR TECHNOLOGIES INC,60,32.80,0.00,-1968.00
09/05/2026,Buy,PLTZ,DEFANCE DAILY TARGET -2X PLTR,120,14.10,0.00,-1692.00
09/05/2026,Sell Short,MUZ,GRANITESHARES 2X SHORT MU,50,12.00,0.00,600.00
